Year,Country,Global Systemic Risk (US$ billion),"FDI inward in Manufacturing (US$, Millions)",Exchange Rate,Currency
2019,China,1300.3,NA,6.909680658436214,CNY_USD
2019,Japan,923,76263.432,108.99413580246913,JPY_USD
2019,United States,681.5,898942,1,USD_USD
2019,France,401.1,82110.818,1.1194711934156378,EUR_USD
2019,United Kingdom,383.3,264093.06,0.783962962962963,GBP_USD
2019,Canada,206.5,182555.779,1.3268658436213991,CAD_USD
2019,Spain,151.7,NA,1.1194711934156378,EUR_USD
2019,"Korea, Rep.",147.1,NA,1166.122242798354,KRW_USD
2019,Italy,137.4,95224.208,1.1194711934156378,EUR_USD
2019,Germany,118.6,106736.148,1.1194711934156378,EUR_USD
2019,Netherlands,83,289807.388,1.1194711934156378,EUR_USD
2019,Australia,76,93301.769,1.4392234567901234,AUD_USD
2019,India,73.4,NA,70.39536419753087,INR_USD
2019,Switzerland,70.1,96575.136,0.9935674897119342,CHF_USD
2019,"Taiwan, China",66.9,NA,30.90698765432099,TWD_USD
2019,Denmark,30.4,24044.354,6.67073621399177,DKK_USD
2019,Israel,27,23484.766,3.5626362139917696,NIS_USD
2019,Brazil,24.5,NA,3.942808230452675,BRL_USD
2019,"Hong Kong SAR, China",24.1,NA,7.835246090534979,HKD_USD
2019,Sweden,21.9,168117.312,9.460809465020576,SEK_USD
