Portfolio Name,As of Date,MAKIX ($),MSCI China (Net) Index($),Exchange Rate
China Equity Portfolio,2020-11-30,13460.000001,13893.749353,6.576
China Equity Portfolio,2020-10-30,13500.000001,13518.865841,6.6919
China Equity Portfolio,2020-09-30,13220.000001,12839.743207,6.786
China Equity Portfolio,2020-08-28,13490.000001,13200.443911,6.866
China Equity Portfolio,2020-07-30,13010,12491.500109,7.008
China Equity Portfolio,2020-06-30,11720,11413.592973,7.0617
China Equity Portfolio,2020-05-28,10580,10472.936117,7.1448
China Equity Portfolio,2020-04-30,10380.000001,10524.888034,7.058
China Equity Portfolio,2020-03-30,9820,9899.789631,7.0943
China Equity Portfolio,2020-02-28,10550,10598.644229,6.9906
China Equity Portfolio,2020-01-30,10150,10496.580553,6.9364
China Equity Portfolio,2019-12-30,10880,11026.182524,6.9864
China Equity Portfolio,2019-11-28,10070,10178.308027,7.0347
China Equity Portfolio,2019-10-30,10000,10000,7.0541
